timestamp,r21672_ws_mb,r21672_priv_mb,r9092_ws_mb,r9092_priv_mb,r17084_ws_mb,r17084_priv_mb,r16948_ws_mb,r16948_priv_mb,gpu_ws_mb,gpu_vram_mb
2026-05-12 14:23:50,100,52,81,30,0,0,2945,3392,1415,6679
2026-05-12 14:23:51,100,52,81,30,0,0,2945,3392,1410,6679
2026-05-12 14:23:53,100,52,81,30,0,0,2945,3392,1402,6679
2026-05-12 14:23:54,100,52,81,30,0,0,2945,3392,1398,6679
2026-05-12 14:23:55,100,52,81,30,0,0,2945,3392,1393,6679
2026-05-12 14:23:56,100,52,81,30,0,0,2945,3392,1385,6679
2026-05-12 14:23:58,100,52,81,30,0,0,2945,3392,1381,6679
2026-05-12 14:23:59,100,52,81,30,0,0,2945,3392,1377,6679
2026-05-12 14:24:00,100,52,81,30,0,0,2945,3392,1373,6679
2026-05-12 14:24:02,100,52,81,30,0,0,2945,3392,1364,6679
2026-05-12 14:24:03,100,52,81,30,0,0,2945,3392,1360,6679
2026-05-12 14:24:04,100,52,81,30,0,0,2945,3392,1356,6679
2026-05-12 14:24:05,100,52,81,30,0,0,2945,3392,1348,6679
2026-05-12 14:24:07,100,52,81,30,0,0,2945,3392,1344,6679
2026-05-12 14:24:08,100,52,81,30,0,0,2945,3392,1340,6679
